epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,60.0015,0.96706,1.68456,1.40758,0.83036,0.49301,0.54983,0.24492,1.70321,2.21721,1.40894,2.40891e-05,2.40891e-05,2.40891e-05
75,60.7487,0.93968,0.85877,1.22745,0.79555,0.49158,0.52632,0.25577,1.70436,2.19358,1.39465,2.35472e-05,2.35472e-05,2.35472e-05
76,61.4436,0.86867,0.89522,1.27538,0.79555,0.49158,0.52632,0.25577,1.70436,2.19358,1.39465,2.29819e-05,2.29819e-05,2.29819e-05
77,62.116,0.67627,0.59678,1.03526,0.79555,0.49158,0.52632,0.25577,1.70436,2.19358,1.39465,2.23929e-05,2.23929e-05,2.23929e-05
78,62.8118,0.67014,0.96629,1.12924,0.79343,0.4889,0.52685,0.25942,1.72215,2.2269,1.40467,2.17805e-05,2.17805e-05,2.17805e-05
79,63.5068,0.81865,1.18402,1.27442,0.79343,0.4889,0.52685,0.25942,1.72215,2.2269,1.40467,2.11444e-05,2.11444e-05,2.11444e-05
80,64.1612,0.57006,0.52266,1.0846,0.79343,0.4889,0.52685,0.25942,1.72215,2.2269,1.40467,2.04848e-05,2.04848e-05,2.04848e-05
81,64.9119,0.78052,0.7525,1.10638,0.7882,0.48389,0.52656,0.26088,1.78433,2.22518,1.43432,1.98016e-05,1.98016e-05,1.98016e-05
82,65.5794,0.43008,0.42611,0.9316,0.7882,0.48389,0.52656,0.26088,1.78433,2.22518,1.43432,1.90949e-05,1.90949e-05,1.90949e-05
83,66.2497,0.60109,0.66823,0.99528,0.7882,0.48389,0.52656,0.26088,1.78433,2.22518,1.43432,1.83646e-05,1.83646e-05,1.83646e-05
84,67.0014,0.79218,1.3259,1.22648,0.78779,0.46754,0.52625,0.25884,1.82214,2.23239,1.45576,1.76107e-05,1.76107e-05,1.76107e-05
85,67.8708,0.61231,0.69369,1.16309,0.78779,0.46754,0.52625,0.25884,1.82214,2.23239,1.45576,1.68333e-05,1.68333e-05,1.68333e-05
86,68.4998,0.60019,0.82014,1.12835,0.78779,0.46754,0.52625,0.25884,1.82214,2.23239,1.45576,1.60323e-05,1.60323e-05,1.60323e-05
87,69.1839,0.54484,0.60618,1.0679,0.78779,0.46754,0.52625,0.25884,1.82214,2.23239,1.45576,1.52077e-05,1.52077e-05,1.52077e-05
88,69.8975,0.69708,0.88598,1.08641,0.79081,0.45694,0.52575,0.25617,1.82382,2.25575,1.45998,1.43596e-05,1.43596e-05,1.43596e-05
89,70.5989,0.6467,0.74219,1.13366,0.79081,0.45694,0.52575,0.25617,1.82382,2.25575,1.45998,1.34879e-05,1.34879e-05,1.34879e-05
90,71.2511,0.76957,0.64654,1.06615,0.79081,0.45694,0.52575,0.25617,1.82382,2.25575,1.45998,1.25927e-05,1.25927e-05,1.25927e-05
91,80.7597,0.53623,0.46342,1.03438,0.79081,0.45694,0.52575,0.25617,1.82382,2.25575,1.45998,1.16739e-05,1.16739e-05,1.16739e-05
92,81.5211,0.43533,0.45647,0.84071,0.7926,0.46353,0.5207,0.25691,1.81354,2.2399,1.462,1.07315e-05,1.07315e-05,1.07315e-05
93,82.2082,0.4592,0.44674,0.94539,0.7926,0.46353,0.5207,0.25691,1.81354,2.2399,1.462,9.76562e-06,9.76562e-06,9.76562e-06
94,82.8178,0.56464,0.55199,1.08475,0.7926,0.46353,0.5207,0.25691,1.81354,2.2399,1.462,8.77613e-06,8.77613e-06,8.77613e-06
95,83.4447,0.59163,0.62341,1.07877,0.7926,0.46353,0.5207,0.25691,1.81354,2.2399,1.462,7.76308e-06,7.76308e-06,7.76308e-06
96,84.1383,0.76984,0.72614,1.1702,0.78262,0.45,0.51631,0.25903,1.74167,2.13863,1.40736,6.72648e-06,6.72648e-06,6.72648e-06
97,84.7514,0.51989,0.45422,0.89733,0.78262,0.45,0.51631,0.25903,1.74167,2.13863,1.40736,5.6663e-06,5.6663e-06,5.6663e-06
98,85.3974,0.49084,0.55804,0.97535,0.78262,0.45,0.51631,0.25903,1.74167,2.13863,1.40736,4.58257e-06,4.58257e-06,4.58257e-06
99,86.0514,0.5407,0.48263,1.00344,0.78262,0.45,0.51631,0.25903,1.74167,2.13863,1.40736,3.47528e-06,3.47528e-06,3.47528e-06
100,86.759,0.44713,0.39357,0.92486,0.79725,0.45,0.52451,0.27623,1.72796,2.05477,1.40564,2.34442e-06,2.34442e-06,2.34442e-06
